Num,Tipo,Voce,Cat,Italiano,Et_Audio
412,locuzione,averghén (vàrda d' – asà),loc,bada di averne abbastanza - anche: érghene,averghen (varda d' – asa)
413,locuzione,avérghen de masa,es,"averne troppi, averne in sovrappiù",averghen de masa
414,lemma,avéri,smpl,"beni, sostanze, ricchezze",averi
415,lemma,avèrt,agg,"aperto, ampio, scoperto; disponibile, socievole",avert
416,locuzione,avèrt /a (a l' –),loc,"allo scoperto, esposto, alla luce del sole",avert /a (a l' –)
417,locuzione,avèrta (a boca –),es,"a bocca aperta, stupire, sbalordire",averta (a boca –)
418,lemma,avertìr,vb,"avvertire, ammonire, avvisare, far presente; fiutare, presentire",avertir
419,lemma,avertór,sm,sparato; la parte anteriore della camicia maschile da sera,avertor
420,lemma,avèrżer,vb,"aprire, dischiudere, slacciare, sbocciare, stappare, allargare, squarciare, dare inizio",averzer
421,lemma,avèrżer fòra,loc,"spalancare, schiudere, allargare, spaccare, spacchettare",averzer fora
422,lemma,avèrżerse,vb,"1. aprirsi, slacciarsi, stapparsi; 2. confidarsi, rasserenarsi",averzerse
423,lemma,avéz,sm,abete bianco,avez
424,lemma,avilì,agg,"avvilito, depresso, umiliato - anche: avelì",avili
425,lemma,avizinàr,vb,"avvicinare, accostare, ravvicinare - anche: svizinàr, arvézinar",avizinar
426,lemma,avizinàrse,vb,"avvicinarsi, accostarsi, ravvicinarsi - anche: svizinàrse, arvézinarse",avizinarse
427,lemma,avocatèl,sm,avvocatuncolo,avocatel
428,lemma,àvola,sf,alborella (pesce),avola
429,lemma,aza,sf,matassa,aza
430,lemma,aze,sfpl,volg. testicoli,aze
431,locuzione,aze (far na żó le –),loc,"infastidire, molestare, seccare, importunare",aze (far na zo le –)
432,locuzione,aze (fòr da le –),loc,"gira alla larga, vattene, non rompere",aze (for da le –)
433,locuzione,aze (nó róter le –),loc,"non rompere, non molestarmi, non ropermi le palle",aze (no roter le –)
434,locuzione,aze (nó secàr le –),loc,"non scocciare, non infastidire, non esasperare",aze (no secar le –)
435,lemma,azènt,sm,accento,azent
436,lemma,azèt,agg,"ben accetto, ben accolto",azet
437,locuzione,azèt (far bòn –),loc,dare buona accoglienza,azet (far bon –)
438,lemma,azetàr,vb,"accettare, acconsentire, gradire - anche: acetàr",azetar
439,lemma,azidènt,sm,"accidente, disgrazia, complicazione",azident
440,lemma,àzido,agg,"acido, brusco, scortese, bisbetico",azido
441,lemma,azión,sf,"azione, gesto, mossa, atto, quota",azion
442,lemma,ażuro,agg,azzurro,azuro
